epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	34	65	32	28	SW	nan	1	32	1.0	9.9375	0.32056451612903225	0
50	168	333	166	113	SW	nan	1	166	1.0	7.397590361445783	0.04483388097845929	0
75	216	429	214	160	SW	nan	1	214	1.0	7.186915887850467	0.033741389144837874	0
100	273	543	271	213	SW	nan	1	271	1.0	6.538745387453875	0.024217575509088426	0
125	297	591	295	238	SW	nan	1	295	1.0	6.352542372881356	0.021607286982589645	0
150	369	735	367	291	SW	nan	2	367	1.0	5.858310626702997	0.016006313187713107	0
175	432	861	430	342	SW	nan	3	425	1.0	5.472941176470588	0.01290788013318535	0
200	540	1077	538	399	SW	nan	3	513	0.9980506822612085	4.888888888888889	0.009548611111111112	0
225	578	1153	576	416	SW	nan	3	527	0.9886148007590133	4.785578747628083	0.009098058455566698	0
250	608	1213	606	438	SW	nan	3	531	0.9585687382297552	4.463276836158192	0.008421277049355079	0
275	609	1214	606	440	SW	nan	3	514	0.8715953307392996	3.9844357976653697	0.007766931379464658	0
300	591	1175	585	416	SW	nan	3	467	0.6531049250535332	3.5674518201284795	0.007655476008859398	0
325	606	1205	600	403	SW	nan	3	441	0.38095238095238093	2.9342403628117912	0.006668728097299526	0
350	589	1169	581	355	SW	nan	3	377	0.3209549071618037	2.59946949602122	0.006913482702184096	0
375	562	1111	550	321	SW	nan	2	325	0.21846153846153846	2.166153846153846	0.006685660018993352	0
400	540	1052	513	297	SW	nan	3	268	0.1044776119402985	1.6865671641791045	0.006316730951981665	0
425	553	1068	516	326	SW	nan	3	288	0.05555555555555555	1.5972222222222223	0.005565234223770809	0
450	531	1024	494	304	SW	nan	3	261	0.06130268199233716	1.4865900383141764	0.0057176539935160624	0
475	476	910	435	272	SW	nan	2	234	0.05555555555555555	1.5299145299145298	0.006566156780749056	0
500	481	925	445	281	SW	nan	3	240	0.04583333333333333	1.4583333333333333	0.006101813110181311	0
525	511	979	469	297	METR	3.362147474337264	4	267	0.04119850187265917	1.550561797752809	0.005829179690800034	0
550	482	907	426	263	SW	nan	3	236	0.0423728813559322	1.4661016949152543	0.006238730616660656	0
575	435	803	369	227	SW	nan	3	198	0.050505050505050504	1.4545454545454546	0.007383479464697739	0
600	416	759	344	223	SW	nan	3	192	0.046875	1.40625	0.007362565445026178	0
625	418	772	355	243	SW	nan	3	199	0.04522613065326633	1.3668341708542713	0.006903202883102381	0
650	492	919	428	270	METR	3.384179069050348	5	265	0.04905660377358491	1.6603773584905661	0.006289308176100629	0
675	540	1017	478	313	METR	3.5382747326734885	4	316	0.06645569620253164	1.9050632911392404	0.006047819971870605	0
700	547	1033	487	326	SW	nan	3	327	0.09174311926605505	1.9694189602446484	0.006041162454738185	0
725	543	1030	488	330	METR	3.7757851645767464	4	324	0.09259259259259259	1.9382716049382716	0.006000840882161832	0
750	574	1094	521	368	SW	nan	3	366	0.04918032786885246	2.1147540983606556	0.0057938468448237145	0
775	600	1143	544	383	METR	3.8319454934505104	4	378	0.047619047619047616	2.0634920634920637	0.005473453749315818	0
800	624	1180	557	370	METR	4.158796414454622	4	382	0.049738219895287955	2.18848167539267	0.0057440463921067456	0
825	679	1285	607	394	METR	3.7891147941759793	5	436	0.05504587155963303	2.353211009174312	0.005409680480860487	0
850	657	1243	587	390	METR	3.879997132534123	5	429	0.039627039627039624	2.1864801864801864	0.0051085985665424915	0
875	641	1214	574	394	METR	3.4208726223984316	5	410	0.041463414634146344	2.131707317073171	0.0052119983302522516	0
900	657	1245	589	390	METR	3.2666528671704436	5	415	0.03614457831325301	2.067469879518072	0.00499388859786974	0
