epoch	V	phase	subphase	label
25	25	growth	-	SW
50	79	growth	-	SW
75	130	growth	-	SW
100	149	growth	-	SW
125	159	growth	-	SW
150	221	growth	-	SW
175	239	growth	-	SW
200	243	growth	-	SW
225	280	growth	-	SW
250	414	growth	-	SW
275	513	growth	-	SW
300	571	growth	-	SW
325	617	growth	-	SW
350	629	growth	-	SW
375	630	growth	-	SW
400	666	growth	-	SW
425	750	growth	-	METR
450	780	growth	-	METR
475	738	growth	-	SW
500	735	growth	-	METR
525	746	growth	-	METR
550	740	growth	-	SW
575	723	growth	-	SW
600	711	growth	-	METR
625	682	contraction	shedding	METR
650	624	contraction	shedding	SW
675	549	contraction	shedding	METR
700	502	contraction	shedding	METR
725	498	contraction	shedding	METR
750	453	contraction	shedding	METR
775	403	contraction	shedding	SW
800	366	contraction	shedding	METR
825	336	contraction	shedding	SW
850	302	contraction	shedding	METR
875	251	contraction	shedding	SW
900	206	contraction	shedding	SW
