epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	28	53	26	18	SW	nan	1	26	1.0	8.846153846153847	0.35384615384615387	0
50	46	89	44	37	SW	nan	1	44	1.0	7.909090909090909	0.1839323467230444	0
75	85	167	83	72	SW	nan	1	83	1.0	6.240963855421687	0.07610931531002058	0
100	123	243	121	98	SW	nan	1	121	1.0	5.652892561983471	0.047107438016528926	0
125	161	319	159	128	SW	nan	1	159	1.0	5.1069182389937104	0.032322267335403235	0
150	174	345	172	144	SW	nan	1	172	1.0	4.976744186046512	0.02910376716986264	0
175	193	383	191	163	SW	nan	2	191	1.0	4.795811518324608	0.025241113254340038	0
200	255	507	253	205	SW	nan	2	251	0.9960159362549801	4.836653386454183	0.019346613545816734	0
225	269	535	267	211	SW	nan	2	255	0.9921568627450981	4.729411764705882	0.018619731357109773	0
250	298	593	296	239	SW	nan	2	274	0.9890510948905109	4.642335766423358	0.017004892917301676	0
275	316	628	313	247	SW	nan	2	273	0.9706959706959707	4.315018315018315	0.01586403792286145	0
300	326	646	321	258	SW	nan	2	277	0.9025270758122743	4.036101083032491	0.014623554648668446	0
325	342	677	336	263	SW	nan	2	280	0.8642857142857143	3.7	0.013261648745519713	0
350	421	837	417	314	SW	nan	3	350	0.8028571428571428	3.3257142857142856	0.009529267294310275	0
375	497	989	493	351	SW	nan	3	410	0.7707317073170732	3.2243902439024392	0.007883594728367822	0
400	519	1032	514	358	SW	nan	2	396	0.6136363636363636	2.8434343434343434	0.007198567958061629	0
425	545	1083	539	386	SW	nan	2	407	0.3538083538083538	2.6044226044226044	0.006414834001040898	0
450	603	1191	589	428	SW	nan	3	462	0.3484848484848485	2.6103896103896105	0.005662450347916725	0
475	659	1301	643	465	METR	3.889415493007452	4	505	0.1782178217821782	2.502970297029703	0.004966210906804967	0
500	689	1356	668	468	METR	3.3771644484195287	4	496	0.1774193548387097	2.375	0.004797979797979798	0
525	739	1449	711	479	METR	3.2367064459852957	4	517	0.16634429400386846	2.2823984526112184	0.00442325281513802	0
550	734	1431	698	482	METR	4.659608618991641	4	512	0.169921875	2.25390625	0.004410775440313112	0
575	716	1391	676	472	METR	4.30764940741373	4	473	0.13107822410147993	2.0380549682875264	0.004317913068405776	0
600	740	1433	694	454	METR	4.134399629709568	4	461	0.06941431670281996	1.8741865509761388	0.004074318589078562	0
625	768	1487	720	451	METR	3.474050441011208	4	470	0.05319148936170213	1.8680851063829786	0.003983123894206778	0
650	786	1513	728	450	METR	3.5771185690003007	5	463	0.04535637149028078	1.7494600431965444	0.0037867100502089702	0
675	890	1708	819	507	METR	3.5772373246910245	5	544	0.07352941176470588	1.9669117647058822	0.003622305275701441	0
700	864	1655	792	517	METR	3.810070136588647	5	535	0.05046728971962617	1.8990654205607476	0.003556302285694284	0
725	820	1546	727	488	METR	3.9840283931401363	4	491	0.05295315682281059	1.8981670061099796	0.0038738102165509786	0
750	787	1489	703	466	METR	3.4773881474235457	5	464	0.05603448275862069	1.8620689655172413	0.0040217472257391826	0
775	803	1515	713	464	METR	3.8070926139568795	5	478	0.05439330543933055	1.8828451882845187	0.003947264545669851	0
800	763	1429	667	399	METR	3.5846300769278647	5	406	0.054187192118226604	1.7832512315270936	0.004403089460560725	0
825	705	1304	600	332	METR	3.3374613322902764	5	343	0.04664723032069971	1.6676384839650147	0.004876135918026358	0
850	668	1220	553	322	METR	3.116157989602784	5	322	0.046583850931677016	1.6149068322981366	0.0050308624059131985	0
875	607	1098	492	299	METR	3.243785084609356	5	277	0.032490974729241874	1.4007220216606497	0.005075079788625543	0
900	552	996	445	263	METR	2.8335436753821543	5	250	0.036	1.344	0.005397590361445783	0
