epoch	V	phase	subphase	label
25	28	growth	-	SW
50	46	growth	-	SW
75	85	growth	-	SW
100	123	growth	-	SW
125	161	growth	-	SW
150	174	growth	-	SW
175	193	growth	-	SW
200	255	growth	-	SW
225	269	growth	-	SW
250	298	growth	-	SW
275	316	growth	-	SW
300	326	growth	-	SW
325	342	growth	-	SW
350	421	growth	-	SW
375	497	growth	-	SW
400	519	growth	-	SW
425	545	growth	-	SW
450	603	growth	-	SW
475	659	growth	-	METR
500	689	growth	-	METR
525	739	growth	-	METR
550	734	growth	-	METR
575	716	growth	-	METR
600	740	growth	-	METR
625	768	growth	-	METR
650	786	growth	-	METR
675	890	growth	-	METR
700	864	growth	-	METR
725	820	growth	-	METR
750	787	growth	-	METR
775	803	growth	-	METR
800	763	contraction	consolidation	METR
825	705	contraction	consolidation	METR
850	668	contraction	consolidation	METR
875	607	contraction	consolidation	METR
900	552	contraction	consolidation	METR
925	521	contraction	consolidation	METR
950	464	contraction	consolidation	METR
975	417	contraction	consolidation	METR
1000	364	contraction	consolidation	METR
1025	364	contraction	consolidation	METR
1050	354	contraction	consolidation	METR
1075	309	contraction	consolidation	METR
1100	309	contraction	consolidation	METR
1125	323	contraction	consolidation	METR
1150	322	contraction	consolidation	METR
1175	286	contraction	consolidation	SW
1200	280	contraction	consolidation	METR
1225	328	contraction	consolidation	METR
1250	315	contraction	consolidation	METR
1275	304	contraction	consolidation	METR
1300	294	contraction	consolidation	METR
1325	299	contraction	shedding	METR
1350	287	contraction	shedding	METR
1375	257	contraction	shedding	METR
1400	273	contraction	shedding	METR
1425	241	contraction	shedding	METR
1450	247	contraction	consolidation	METR
1475	253	contraction	consolidation	METR
1500	254	contraction	consolidation	METR
1525	281	contraction	consolidation	METR
1550	277	contraction	consolidation	METR
1575	258	contraction	consolidation	METR
1600	260	contraction	consolidation	METR
1625	255	contraction	consolidation	METR
1650	251	contraction	consolidation	METR
1675	253	contraction	consolidation	METR
1700	249	contraction	consolidation	METR
1725	285	contraction	consolidation	METR
1750	332	contraction	consolidation	METR
1775	326	contraction	consolidation	METR
1800	306	contraction	consolidation	METR
1825	313	contraction	consolidation	METR
1850	301	contraction	consolidation	METR
1875	311	contraction	consolidation	METR
1900	255	contraction	consolidation	SW
1925	204	contraction	consolidation	SW
1950	238	contraction	consolidation	SW
1975	313	contraction	consolidation	SW
2000	324	contraction	consolidation	SW
2025	333	contraction	consolidation	SW
2050	341	contraction	consolidation	SW
2075	351	contraction	consolidation	SW
2100	392	contraction	consolidation	SW
2125	433	contraction	consolidation	SW
2150	426	contraction	consolidation	SW
2175	390	contraction	consolidation	SW
2200	397	contraction	consolidation	SW
2225	396	contraction	consolidation	SW
2250	471	contraction	consolidation	METR
2275	486	contraction	consolidation	METR
2300	456	contraction	consolidation	METR
2325	439	contraction	consolidation	SW
2350	426	contraction	consolidation	SW
2375	428	contraction	consolidation	METR
2400	440	contraction	consolidation	METR
2425	429	growth	-	METR
2450	504	growth	-	METR
2475	596	growth	-	METR
2500	622	growth	-	METR
2525	631	growth	-	METR
2550	622	growth	-	METR
2575	636	growth	-	METR
2600	630	growth	-	METR
2625	608	contraction	shedding	METR
2650	547	contraction	shedding	METR
2675	486	contraction	shedding	METR
2700	450	contraction	shedding	METR
2725	413	contraction	shedding	METR
2750	384	contraction	shedding	METR
2775	337	contraction	shedding	METR
2800	351	contraction	shedding	METR
2825	334	contraction	shedding	METR
2850	309	contraction	shedding	METR
2875	290	contraction	shedding	METR
2900	323	contraction	shedding	METR
2925	346	contraction	shedding	METR
2950	327	contraction	shedding	METR
2975	326	contraction	shedding	METR
3000	315	contraction	shedding	METR
3025	310	contraction	shedding	METR
3050	299	contraction	shedding	METR
3075	271	contraction	shedding	METR
3100	201	contraction	shedding	METR
3125	145	contraction	consolidation	METR
3150	143	contraction	consolidation	METR
3175	144	contraction	consolidation	METR
3200	153	contraction	consolidation	METR
3225	158	contraction	consolidation	METR
3250	140	contraction	consolidation	METR
3275	145	contraction	consolidation	METR
3300	151	contraction	consolidation	METR
3325	172	contraction	consolidation	METR
3350	175	contraction	consolidation	METR
3375	199	contraction	consolidation	METR
3400	217	contraction	consolidation	METR
3425	226	contraction	consolidation	METR
3450	268	contraction	consolidation	METR
3475	305	growth	-	METR
3500	336	growth	-	METR
3525	376	growth	-	METR
3550	391	growth	-	METR
3575	430	growth	-	METR
3600	423	growth	-	METR
3625	434	growth	-	METR
3650	460	growth	-	METR
3675	471	growth	-	METR
3700	465	growth	-	METR
3725	480	growth	-	METR
3750	510	growth	-	METR
3775	486	growth	-	METR
3800	444	growth	-	METR
3825	435	growth	-	METR
3850	415	growth	-	METR
3875	409	contraction	shedding	METR
3900	376	contraction	shedding	METR
3925	277	contraction	consolidation	SW
3950	269	contraction	consolidation	SW
3975	300	contraction	consolidation	METR
4000	309	contraction	consolidation	METR
