epoch	V	phase	subphase	label
25	41	growth	-	SW
50	129	growth	-	SW
75	230	growth	-	SW
100	324	growth	-	SW
125	445	growth	-	SW
150	505	growth	-	SW
175	554	growth	-	SW
200	621	growth	-	SW
225	677	growth	-	SW
250	762	growth	-	SW
275	743	growth	-	SW
300	682	growth	-	SW
325	649	growth	-	SW
350	662	growth	-	METR
375	642	growth	-	METR
400	592	growth	-	METR
425	536	growth	-	SW
450	497	growth	-	SW
475	496	growth	-	METR
500	501	growth	-	METR
525	492	growth	-	METR
550	466	growth	-	METR
575	449	growth	-	METR
600	450	growth	-	METR
625	441	growth	-	METR
650	417	growth	-	METR
675	395	growth	-	METR
700	360	growth	-	METR
725	342	growth	-	METR
750	330	growth	-	METR
775	325	growth	-	METR
800	317	growth	-	METR
825	311	growth	-	METR
850	322	growth	-	METR
875	302	growth	-	METR
900	266	growth	-	METR
