cycle_id	birth	death	lifetime	died_by	len
0	6	264	258	new	3
1	7	303	296	new	3
2	9	450	441	new	3
3	9	269	260	new	3
4	10	272	262	new	3
5	11	268	257	new	3
6	11	365	354	new	3
7	11	300	289	new	3
8	11	213	202	new	3
9	12	299	287	new	4
10	13	244	231	new	4
11	13	272	259	path	4
12	15	299	284	path	4
13	15	286	271	new	4
14	16	207	191	new	4
15	17	267	250	new	4
16	18	224	206	new	4
17	20	264	244	path	4
18	21	613	592	path	4
19	21	244	223	path	4
20	21	213	192	path	4
21	21	200	179	new	4
22	21	412	391	path	4
23	22	456	434	path	4
24	22	281	259	path	4
25	22	299	277	path	4
26	24	371	347	path	4
27	24	330	306	new	4
28	25	262	237	new	4
29	26	244	218	path	4
30	26	271	245	path	4
31	28	303	275	path	4
32	29	246	217	new	4
33	29	264	235	new	4
34	29	286	257	path	4
35	29	298	269	new	4
36	31	236	205	new	4
37	32	280	248	new	4
38	32	244	212	path	4
39	33	271	238	path	4
40	33	267	234	path	4
41	33	242	209	new	4
42	34	281	247	path	4
43	35	196	161	new	4
44	36	367	331	path	4
45	36	264	228	path	4
46	37	269	232	path	4
47	40	265	225	new	4
48	40	244	204	path	4
49	40	286	246	new	4
50	41	238	197	new	4
51	42	259	217	new	4
52	42	303	261	path	4
53	44	300	256	path	4
54	44	347	303	path	4
55	45	259	214	path	4
56	45	252	207	new	4
57	46	354	308	path	4
58	46	272	226	new	4
59	46	281	235	path	4
60	46	244	198	path	4
61	47	286	239	path	4
62	48	264	216	path	4
63	48	456	408	path	4
64	49	368	319	new	4
65	49	268	219	path	4
66	49	354	305	path	4
67	50	184	134	new	4
68	52	330	278	new	4
69	53	331	278	new	4
70	53	255	202	new	4
71	54	303	249	path	4
72	54	212	158	new	4
73	54	506	452	new	4
74	54	696	642	path	4
75	55	311	256	path	4
76	55	236	181	path	4
77	55	207	152	new	4
78	55	330	275	path	4
79	55	606	551	new	4
80	55	281	226	path	4
81	55	345	290	new	4
82	58	307	249	new	4
83	58	507	449	path	4
84	58	312	254	new	4
85	59	193	134	new	4
86	59	303	244	path	4
87	59	237	178	new	4
88	59	330	271	path	4
89	59	213	154	path	4
90	59	192	133	new	4
91	59	272	213	path	4
92	59	317	258	new	4
93	59	288	229	new	4
94	59	445	386	path	4
95	60	269	209	new	4
96	60	272	212	path	4
97	61	252	191	new	4
98	61	210	149	new	4
99	61	224	163	path	4
100	61	252	191	new	4
101	62	195	133	new	4
102	63	341	278	path	4
103	63	252	189	path	4
104	64	259	195	new	4
105	64	281	217	path	4
106	64	498	434	new	4
107	64	268	204	path	4
108	65	433	368	path	4
109	65	199	134	new	4
110	65	251	186	new	4
111	65	415	350	new	4
112	66	281	215	path	4
113	66	269	203	path	4
114	66	344	278	new	4
115	66	258	192	new	4
116	67	253	186	new	4
117	68	279	211	new	4
118	68	323	255	new	4
119	68	252	184	path	4
120	69	453	384	path	4
121	69	453	384	path	4
122	69	373	304	new	4
123	69	221	152	new	4
124	70	262	192	new	4
125	71	267	196	new	4
126	73	374	301	new	4
127	75	229	154	new	4
128	76	272	196	path	4
129	77	298	221	new	4
130	77	473	396	path	4
131	77	213	136	new	4
132	77	210	133	new	4
