cycle_id	edges
0	0_2;1_2;0_1
1	0_3;1_3;0_1
2	0_4;1_4;0_1
3	0_5;1_5;0_1
4	0_6;1_6;0_1
5	1_7;0_7;0_1
6	1_8;0_8;0_1
7	1_9;0_9;0_1
8	1_10;0_10;0_1
9	0_11;5_11;0_5
10	1_12;0_12;0_1
11	0_13;1_13;0_1
12	0_14;2_14;0_2
13	1_15;8_15;1_8
14	1_16;0_16;0_1
15	5_17;1_17;1_5
16	6_18;1_18;1_6
17	1_19;0_19;0_1
18	9_20;0_20;0_9
19	0_21;1_21;0_1
20	2_22;1_22;1_2
21	0_23;3_23;0_3
22	0_24;1_24;0_1
23	0_25;13_25;0_13
24	1_26;16_26;1_16
25	3_27;1_27;1_3
26	12_28;0_28;0_12
27	0_29;6_29;0_6
28	0_30;6_30;0_6
29	1_31;16_31;1_16
30	6_32;1_32;1_6
31	8_33;0_33;0_8
32	1_34;10_34;1_10
33	1_35;0_35;0_1
34	0_36;23_36;0_23
35	0_37;6_37;0_6
36	1_38;12_38;1_12
37	1_39;16_39;1_16
38	1_40;12_40;1_12
39	7_41;0_41;0_7
40	0_42;6_42;0_6
41	0_43;11_43;0_11
42	19_44;0_44;0_19
43	1_45;0_45;0_1
44	0_46;21_46;0_21
45	1_47;0_47;0_1
46	1_48;16_48;1_16
47	0_49;29_49;0_29
48	1_50;10_50;1_10
49	0_51;24_51;0_24
50	8_52;0_52;0_8
51	0_53;1_53;0_1
52	10_54;0_54;0_10
53	24_55;1_55;1_24
54	11_56;5_56;5_11
55	16_57;0_57;0_16
56	0_58;23_58;0_23
57	16_59;0_59;0_16
58	16_60;0_60;0_16
59	0_61;21_61;0_21
60	11_62;5_62;5_11
61	0_63;36_63;0_36
62	0_64;2_64;0_2
63	0_65;1_65;0_1
64	1_66;7_66;1_7
65	1_67;16_67;1_16
66	1_68;8_68;1_8
67	1_69;0_69;0_1
68	48_70;16_70;16_48
69	1_71;10_71;1_10
70	1_72;10_72;1_10
71	0_73;11_73;0_11
72	10_74;0_74;0_10
73	1_75;10_75;1_10
74	1_76;38_76;1_38
75	0_77;29_77;0_29
76	1_78;31_78;1_31
77	1_79;39_79;1_39
78	35_80;0_80;0_35
79	35_81;0_81;0_35
80	0_82;1_82;0_1
81	0_83;42_83;0_42
82	10_84;54_84;10_54
83	1_85;26_85;1_26
84	1_86;7_86;1_7
85	0_87;64_87;0_64
86	7_88;41_88;7_41
87	0_89;37_89;0_37
88	0_90;23_90;0_23
89	1_91;67_91;1_67
90	1_92;8_92;1_8
91	0_93;6_93;0_6
92	1_94;35_94;1_35
93	1_95;26_95;1_26
94	0_96;4_96;0_4
95	53_97;1_97;1_53
96	0_98;1_98;0_1
97	0_99;36_99;0_36
98	35_100;80_100;35_80
99	8_101;33_101;8_33
100	1_102;15_102;1_15
101	1_103;19_103;1_19
102	16_104;57_104;16_57
103	0_105;36_105;0_36
104	8_106;0_106;0_8
105	0_107;36_107;0_36
106	0_108;2_108;0_2
107	0_109;3_109;0_3
108	0_110;58_110;0_58
109	1_111;26_111;1_26
110	12_112;0_112;0_12
111	1_113;35_113;1_35
112	1_114;39_114;1_39
113	0_115;11_115;0_11
114	0_116;49_116;0_49
115	16_117;57_117;16_57
116	0_118;108_118;0_108
117	36_119;23_119;23_36
118	0_120;83_120;0_83
119	23_121;3_121;3_23
120	0_122;1_122;0_1
121	0_123;77_123;0_77
122	1_124;91_124;1_91
123	6_125;1_125;1_6
124	10_126;54_126;10_54
125	1_127;103_127;1_103
126	42_128;6_128;6_42
127	13_129;1_129;1_13
128	16_130;0_130;0_16
