epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate	w_cont
25	25	47	23	17	SW	nan	1	23	1.0	4.260869565217392	0.19367588932806323	0	nan
50	79	155	77	58	SW	nan	1	77	1.0	6.415584415584416	0.08441558441558442	0	nan
75	130	257	128	104	SW	nan	1	128	1.0	5.875	0.04625984251968504	0	nan
100	149	295	147	121	SW	nan	1	147	1.0	5.537414965986395	0.0379274997670301	0	nan
125	159	315	157	131	SW	nan	1	157	1.0	5.439490445859873	0.03486852849910175	0	nan
150	221	439	219	171	SW	nan	2	219	1.0	4.931506849315069	0.022621591051903985	0	0.405465
175	239	475	237	194	SW	nan	2	236	1.0	4.796610169491525	0.020411107104219256	0	0.405465
200	243	483	241	188	SW	nan	2	225	1.0	4.435555555555555	0.019801587301587303	0	0.405465
225	280	557	278	211	SW	nan	3	253	0.9841897233201581	4.07905138339921	0.016186711838885752	0	1.098612
250	414	825	412	301	SW	nan	3	382	0.9842931937172775	3.863874345549738	0.010141402481757843	0	1.098612
275	513	1023	511	381	SW	nan	3	463	0.9222462203023758	3.6069114470842334	0.007807167634381457	0	1.098612
300	571	1139	569	426	SW	nan	2	505	0.9267326732673268	3.5247524752475248	0.006993556498506993	0	0.405465
325	617	1231	615	456	SW	nan	2	540	0.85	3.3925925925925924	0.006294234865663437	0	0.405465
350	629	1253	625	485	SW	nan	3	549	0.6557377049180327	3.2604735883424407	0.005949769321792775	0	1.098612
375	630	1253	624	474	SW	nan	2	539	0.6326530612244898	3.142857142857143	0.005841741901221455	0	0.405465
400	666	1326	661	469	SW	nan	3	529	0.23629489603024575	2.9224952741020793	0.005535028928223635	0	1.098612
425	750	1488	739	502	METR	4.353700973545683	4	574	0.29442508710801396	2.8118466898954706	0.004907236806100297	0	1.386294
450	780	1545	766	517	METR	4.349419161048981	4	575	0.2382608695652174	2.6295652173913044	0.004581124072110286	0	1.386294
475	738	1454	717	468	SW	nan	3	492	0.2459349593495935	2.317073170731707	0.004719089960757042	0	0.693147
500	735	1440	706	457	METR	4.3245387908636115	4	476	0.1407563025210084	2.138655462184874	0.004502432551968156	0	1.386294
525	746	1450	705	478	METR	3.358690107843409	4	492	0.14227642276422764	2.16260162601626	0.004404483963373239	0	1.386294
550	740	1444	705	460	SW	nan	3	457	0.05689277899343545	2.0043763676148796	0.004395562209681753	0	0.693147
575	723	1404	682	432	SW	nan	3	426	0.0539906103286385	1.84037558685446	0.004330295498481082	0	0.693147
600	711	1373	663	417	METR	3.9534439214665524	4	398	0.05778894472361809	1.7537688442211055	0.004417553763781122	0	1.386294
625	682	1310	629	377	METR	4.125885082357186	4	347	0.06628242074927954	1.5273775216138328	0.004414385900618014	0	1.386294
650	624	1179	556	317	SW	nan	3	289	0.0657439446366782	1.3840830449826989	0.004805843906189927	0	0.693147
675	549	1012	464	262	METR	4.193576815207274	4	215	0.046511627906976744	1.1906976744186046	0.005564007824386003	0	1.386294
700	502	909	408	236	METR	3.806266606091745	4	192	0.041666666666666664	1.125	0.0058900523560209425	0	1.386294
725	498	895	398	233	METR	3.4039692893867795	4	204	0.04411764705882353	1.3627450980392157	0.006713030039602047	0	0.916291
750	453	810	358	211	METR	4.25857736416736	4	175	0.045714285714285714	1.1657142857142857	0.006699507389162562	0	0.916291
775	403	714	312	189	SW	nan	3	151	0.052980132450331126	1.205298013245033	0.008035320088300222	0	0.693147
800	366	642	277	174	METR	3.7979122463285937	4	134	0.05970149253731343	1.2835820895522387	0.00965099315452811	0	0.916291
825	336	583	248	155	SW	nan	3	121	0.06611570247933884	1.322314049586777	0.011019283746556474	0	0.693147
850	302	517	216	128	METR	2.7797870129152926	4	101	0.06930693069306931	1.2475247524752475	0.012475247524752476	0	1.386294
875	251	421	171	100	SW	nan	3	81	0.08641975308641975	1.2345679012345678	0.015432098765432098	0	0.693147
900	206	339	134	85	SW	nan	3	64	0.09375	1.0625	0.016865079365079364	0	0.693147
925	177	288	112	74	SW	nan	3	50	0.12	1.0	0.02040816326530612	0	0.693147
950	168	269	102	69	SW	nan	3	41	0.14634146341463414	0.975609756097561	0.024390243902439025	0	0.693147
975	151	241	91	63	SW	nan	3	38	0.13157894736842105	0.8421052631578947	0.02275960170697013	0	0.693147
1000	167	279	113	76	METR	1.244467357007806	5	63	0.2222222222222222	2.380952380952381	0.03840245775729647	0	1.609438
1025	175	298	124	85	FRAG	nan	3	85	0.29411764705882354	4.0	0.047619047619047616	0	0.693147
1050	178	309	133	97	FRAG	nan	1	98	0.32653061224489793	4.653061224489796	0.047969703345255625	0	nan
1075	210	383	175	130	SW	nan	2	145	0.35172413793103446	4.372413793103449	0.030363984674329502	0	0.405465
1100	201	383	184	143	SW	nan	2	173	0.3930635838150289	4.578034682080925	0.02661648070977282	0	0.405465
1125	199	395	197	162	SW	nan	1	192	0.4114583333333333	4.458333333333333	0.023342059336823734	0	nan
1150	296	589	294	217	SW	nan	2	285	0.3684210526315789	4.266666666666667	0.015023474178403756	0	0.405465
1175	368	733	366	285	SW	nan	2	355	0.37464788732394366	4.2873239436619714	0.01211108458661574	0	0.405465
1200	418	833	416	328	SW	nan	2	398	0.3768844221105528	4.241206030150754	0.010683138614989304	0	0.405465
1225	462	921	460	357	SW	nan	2	422	0.31990521327014215	3.933649289099526	0.009343585009737592	0	0.405465
1250	489	975	487	379	SW	nan	3	443	0.34085778781038373	3.851015801354402	0.00871270543292851	0	1.098612
1275	514	1025	512	395	SW	nan	3	443	0.27539503386004516	3.5033860045146725	0.00792621267989745	0	1.098612
1300	554	1103	550	391	SW	nan	3	441	0.23809523809523808	2.925170068027211	0.0066481137909709335	0	1.098612
1325	576	1146	571	384	SW	nan	3	436	0.22247706422018348	2.876146788990826	0.006611831698829484	0	1.098612
1350	575	1142	568	377	SW	nan	3	415	0.23132530120481928	2.7180722891566265	0.006565392002793784	0	1.098612
1375	579	1142	564	389	SW	nan	3	401	0.18204488778054864	2.5236907730673317	0.006309226932668329	0	1.098612
1400	560	1105	546	367	SW	nan	3	358	0.10893854748603352	2.2513966480446927	0.00630643318780026	0	1.098612
1425	549	1076	528	336	SW	nan	2	314	0.04777070063694268	2.0254777070063694	0.006471174782767953	0	0.405465
1450	523	1020	498	320	SW	nan	3	289	0.04844290657439446	1.8892733564013842	0.00655997693194925	0	1.098612
1475	525	1017	493	323	SW	nan	3	296	0.05067567567567568	2.081081081081081	0.007054512139257902	0	1.098612
1500	490	947	458	296	SW	nan	2	253	0.05138339920948617	1.9130434782608696	0.00759144237405107	0	0.405465
1525	461	875	415	246	SW	nan	2	210	0.05714285714285714	1.7428571428571429	0.00833902939166097	0	0.405465
1550	416	776	361	226	SW	nan	3	189	0.06349206349206349	1.6296296296296295	0.008668242710795903	0	1.098612
1575	386	715	330	207	SW	nan	3	163	0.06748466257668712	1.3865030674846626	0.008558660910399151	0	1.098612
1600	351	647	297	179	SW	nan	3	141	0.07801418439716312	1.3617021276595744	0.009726443768996961	0	0.693147
1625	356	651	296	171	METR	3.290100243287246	4	141	0.0851063829787234	1.3191489361702127	0.009422492401215805	0	1.386294
1650	328	599	272	165	SW	nan	3	128	0.078125	1.078125	0.008489173228346457	0	0.693147
1675	305	553	249	155	SW	nan	3	119	0.10084033613445378	1.1428571428571428	0.009685230024213076	0	0.693147
1700	302	547	246	158	METR	3.1411707471659875	4	122	0.09836065573770492	1.2295081967213115	0.01016122476629183	0	1.386294
1725	307	555	249	162	METR	3.2100312017560757	4	133	0.09022556390977443	1.3082706766917294	0.009911141490088858	0	0.916291
1750	332	600	269	179	METR	2.8489872838155135	5	157	0.09554140127388536	1.7197452229299364	0.011024007839294463	0	1.609438
1775	308	551	244	164	SW	nan	3	140	0.11428571428571428	1.7714285714285714	0.01274409044193217	0	0.693147
