N	rule	seed	occ	nwin	t1n	t1_pure	t2n	t2_pure	regn	reg_newedge	t3mn	t3fbn	decay_dVnz	decay_dE	decay_db1	death_dV	death_dE	death_db1	death_EV	src	net_b1	final_b1	closes	b1_metr	b1_non	nmetr	nnon
300	T1	5	0	0	359	True	0		182681	0	0	0	0	-22	-22	-61	-123	-62	2.016	359	275	275	True	nan	237.533	0	90
300	T1	7	1	1	411	True	0		397125	0	0	0	0	-28	-28	-113	-227	-114	2.009	411	269	269	True	298.0	251.876	1	89
300	T1	10	13	3	598	True	0		18486	0	0	0	0	-57	-57	-312	-620	-308	1.987	598	233	233	True	273.538	223.571	13	77
300	T1	15	0	0	344	True	0		267456	0	0	0	0	-14	-14	-46	-92	-46	2.0	344	284	284	True	nan	263.967	0	90
300	T1	21	3	1	353	True	0		182193	0	0	0	0	-29	-29	-55	-110	-55	2.0	353	269	269	True	298.0	267.425	3	87
300	T1	33	10	3	464	True	0		49147	0	0	0	0	-43	-43	-166	-334	-168	2.012	464	253	253	True	277.1	232.975	10	80
450	T1	5	4	1	684	True	0		86983	0	0	0	0	-76	-76	-236	-472	-236	2.0	684	372	372	True	437.0	317.14	4	86
450	T1	7	0	0	572	True	0		135461	0	0	0	0	-39	-39	-124	-247	-123	1.992	572	410	410	True	nan	357.789	0	90
450	T1	10	17	7	999	True	0		13873	0	0	0	0	-63	-63	-562	-1122	-560	1.996	999	376	376	True	368.588	273.685	17	73
450	T1	15	17	5	924	True	0		14536	0	0	0	0	-66	-66	-617	-1217	-600	1.972	924	258	258	True	311.176	300.384	17	73
450	T1	21	0	0	555	True	0		198804	0	0	0	0	-49	-49	-107	-214	-107	2.0	555	399	399	True	nan	382.544	0	90
450	T1	33	14	3	969	True	0		20704	0	0	0	0	-75	-75	-523	-1034	-511	1.977	969	383	383	True	388.857	305.355	14	76
650	T1	5	28	4	1181	True	0		24010	0	0	0	0	-92	-92	-723	-1430	-707	1.978	1181	382	382	True	542.0	328.419	28	62
650	T1	7	43	6	1282	True	0		47855	0	0	0	0	-140	-140	-637	-1255	-618	1.97	1282	524	524	True	572.651	368.468	43	47
650	T1	10	20	7	1050	True	0		14237	0	0	0	0	-62	-62	-524	-1045	-521	1.994	1050	467	467	True	403.55	276.229	20	70
650	T1	15	36	5	1489	True	0		34679	0	0	0	0	-122	-122	-843	-1658	-815	1.967	1489	552	552	True	560.472	411.019	36	54
650	T1	21	24	4	1605	True	0		22300	0	0	0	0	-101	-101	-957	-1878	-921	1.962	1605	583	583	True	511.5	434.439	24	66
650	T1	33	43	2	1035	True	0		62129	0	0	0	0	-128	-128	-387	-772	-385	1.995	1035	522	522	True	580.163	289.617	43	47
450	T2	5	0	0	0		154	True	1651	0	0	0	0	0	0	-79	-79	0	1.0	0	0	0	True	nan	0.0	0	90
450	T2	7	0	0	0		175	True	1804	0	0	0	0	0	0	-88	-88	0	1.0	0	0	0	True	nan	0.0	0	90
450	T2	10	0	0	0		153	True	1805	0	0	0	0	0	0	-69	-69	0	1.0	0	0	0	True	nan	0.0	0	90
450	T2	15	0	0	0		179	True	1929	0	0	0	0	-1	0	-94	-93	0	0.989	0	0	0	True	nan	0.0	0	90
450	T2	21	1	1	0		149	True	1941	0	0	0	0	0	0	-76	-76	0	1.0	0	0	0	True	0.0	0.0	1	89
450	T2	33	0	0	0		136	True	1738	0	0	0	0	0	0	-66	-66	0	1.0	0	0	0	True	nan	0.0	0	90
