dim	side	N	slope	slope_sd	npts
1	127	127	0.9449702990755021	0.003248329320670442	36
1	371	371	0.9687511982922283	0.002194856740804246	36
1	1024	1024	0.9796742344335083	0.0012991130034142294	36
2	11	121	1.7172620404528303	0.04153238760499866	8
2	19	361	1.8210858035381305	0.019223282555166192	16
2	32	1024	1.8770752358692255	0.009340748009687512	27
3	5	125	2.256713183471433	0.03591076297028899	4
3	7	343	2.45787703229138	0.022266256292574345	7
3	10	1000	2.602686089646126	0.010998288164323244	11
4	3	81	nan	nan	3
4	4	256	2.7450240471407374	0.06396656763787517	5
4	6	1296	3.005260925583012	0.08474142358413982	9
