epoch	V	phase	subphase	label
10	7	growth	-	SW
20	15	growth	-	SW
30	24	growth	-	SW
40	36	growth	-	SW
50	49	growth	-	SW
60	54	growth	-	SW
70	62	growth	-	SW
80	67	growth	-	SW
90	74	growth	-	SW
100	78	growth	-	SW
110	83	growth	-	SW
120	94	growth	-	SW
130	101	growth	-	SW
140	111	growth	-	SW
150	125	growth	-	SW
160	153	growth	-	SW
170	162	growth	-	SW
180	167	growth	-	SW
190	180	growth	-	SW
200	190	growth	-	SW
210	202	growth	-	SW
220	211	growth	-	SW
230	220	growth	-	SW
240	235	growth	-	SW
250	266	growth	-	SW
260	312	growth	-	SW
270	344	growth	-	SW
280	348	growth	-	SW
290	347	growth	-	SW
300	352	growth	-	SW
310	361	growth	-	SW
320	366	growth	-	SW
330	399	growth	-	SW
340	412	growth	-	SW
350	415	growth	-	SW
360	417	growth	-	SW
370	427	growth	-	SW
380	425	growth	-	SW
390	430	growth	-	SW
400	425	growth	-	SW
410	421	growth	-	SW
420	435	growth	-	SW
430	467	growth	-	SW
440	529	growth	-	METR
450	563	growth	-	METR
460	614	growth	-	SW
470	627	growth	-	SW
480	641	growth	-	SW
490	660	growth	-	SW
500	712	growth	-	METR
510	762	growth	-	METR
520	849	growth	-	METR
530	904	growth	-	METR
540	921	growth	-	METR
550	947	growth	-	METR
560	992	growth	-	METR
570	1035	growth	-	METR
580	1049	growth	-	METR
590	1043	growth	-	METR
600	1032	growth	-	SW
610	1025	growth	-	SW
620	1019	growth	-	SW
630	995	growth	-	SW
640	992	growth	-	METR
650	983	growth	-	SW
660	988	growth	-	SW
670	995	growth	-	SW
680	993	growth	-	METR
690	997	contraction	shedding	METR
700	982	contraction	shedding	METR
710	943	contraction	shedding	METR
720	901	contraction	shedding	METR
730	858	contraction	shedding	METR
740	834	contraction	shedding	METR
750	801	contraction	shedding	METR
760	755	contraction	shedding	METR
770	711	contraction	shedding	METR
780	685	contraction	shedding	METR
790	663	contraction	shedding	METR
800	657	contraction	shedding	METR
810	655	contraction	shedding	METR
820	655	contraction	shedding	METR
830	650	contraction	shedding	METR
840	656	contraction	shedding	METR
850	638	contraction	shedding	METR
860	619	contraction	shedding	METR
870	613	contraction	shedding	METR
880	595	contraction	shedding	METR
890	552	contraction	consolidation	METR
900	533	contraction	consolidation	METR
910	543	contraction	consolidation	METR
920	536	contraction	consolidation	METR
930	530	contraction	consolidation	METR
940	507	contraction	consolidation	METR
950	496	contraction	consolidation	METR
960	498	contraction	consolidation	METR
970	483	contraction	consolidation	METR
980	454	contraction	consolidation	METR
990	427	contraction	consolidation	METR
1000	406	contraction	consolidation	METR
1010	385	contraction	consolidation	METR
1020	378	contraction	consolidation	METR
1030	364	contraction	consolidation	METR
1040	353	contraction	consolidation	METR
1050	329	contraction	consolidation	METR
1060	315	contraction	consolidation	METR
1070	293	contraction	consolidation	METR
1080	271	contraction	consolidation	METR
1090	250	contraction	consolidation	METR
1100	243	contraction	consolidation	METR
1110	235	contraction	consolidation	METR
1120	225	contraction	consolidation	METR
1130	228	contraction	consolidation	METR
1140	242	contraction	consolidation	METR
1150	250	contraction	consolidation	METR
1160	239	contraction	consolidation	METR
1170	226	contraction	consolidation	METR
1180	219	contraction	consolidation	METR
1190	214	contraction	consolidation	METR
1200	210	contraction	consolidation	METR
1210	210	contraction	consolidation	METR
1220	208	contraction	consolidation	METR
1230	207	contraction	consolidation	METR
1240	206	contraction	consolidation	METR
1250	203	contraction	consolidation	METR
1260	197	contraction	consolidation	METR
1270	192	contraction	consolidation	METR
1280	177	contraction	consolidation	METR
1290	170	contraction	consolidation	METR
1300	168	contraction	consolidation	METR
1310	166	contraction	consolidation	METR
1320	162	contraction	consolidation	METR
1330	158	contraction	consolidation	METR
1340	157	contraction	consolidation	METR
1350	151	contraction	consolidation	METR
1360	137	contraction	consolidation	METR
1370	128	contraction	consolidation	METR
1380	136	contraction	consolidation	METR
1390	137	contraction	consolidation	METR
1400	133	contraction	consolidation	METR
1410	136	contraction	consolidation	METR
1420	135	contraction	consolidation	METR
1430	136	contraction	consolidation	METR
1440	136	contraction	consolidation	METR
1450	136	contraction	consolidation	METR
1460	127	contraction	consolidation	METR
1470	127	contraction	consolidation	METR
1480	109	contraction	consolidation	METR
1490	101	contraction	consolidation	METR
1500	104	contraction	consolidation	METR
