# sensitivity scan  (validation target: old classifier on unimodal runs -> growth~0.215 / contraction~0.731)
# reference (old classifier, per file):
#   v24_2e_directed_g0.075_s5_snapshots.tsv: old growth_occ=0.190 contr_occ=0.924
#   v24_2e_directed_g0.075_s7_snapshots.tsv: old growth_occ=0.089 contr_occ=0.276
#   v24_2e_directed_g0.075_s10_snapshots.tsv: old growth_occ=0.227 contr_occ=0.839
#   v24_2e_directed_g0.075_s15_snapshots.tsv: old growth_occ=0.541 contr_occ=1.000
#   v24_2e_directed_g0.075_s21_snapshots.tsv: old growth_occ=0.195 contr_occ=1.000
#   v24_2e_directed_g0.075_s33_snapshots.tsv: old growth_occ=0.324 contr_occ=1.000
window_ratio	eps_ratio	mean_growth_occ	mean_contr_occ	mean_nswitch	reproduces
0.1	0.1	0.357	0.713	11.2	no
0.1	0.25	0.341	0.734	6.8	no
0.1	0.5	0.312	0.774	4.2	no
0.1	1.0	0.300	0.860	1.8	no
0.2	0.1	0.351	0.713	7.3	no
0.2	0.25	0.329	0.735	4.3	no
0.2	0.5	0.298	0.784	2.2	no
0.2	1.0	0.292	0.898	1.5	no
0.3	0.1	0.323	0.737	4.0	no
0.3	0.25	0.291	0.772	3.2	no
0.3	0.5	0.285	0.846	1.8	no
0.3	1.0	0.296	0.878	1.3	no
0.5	0.1	0.295	0.779	3.2	no
0.5	0.25	0.280	0.811	2.0	no
0.5	0.5	0.266	0.885	1.5	no
0.5	1.0	0.441	0.879	0.8	no
