epoch	V	b1H	b1S	label	npts	d_cal	slope	wcont	occ2ecc
10	3	1	1	SW	0	nan	nan	nan	1.0
20	20	18	12	SW	1	nan	nan	0.14599351956649098	0.7
30	29	27	22	SW	1	nan	nan	0.35250750324687846	0.8275862068965517
40	34	32	26	SW	1	nan	nan	0.3302154802773916	0.8235294117647058
50	40	38	31	SW	1	nan	nan	0.35231226288372886	0.825
60	48	46	37	SW	1	nan	nan	0.6645052396147691	0.8125
70	66	64	50	SW	2	nan	nan	0.824323921513742	0.7878787878787878
80	89	87	66	SW	3	nan	nan	1.263051268310527	0.7640449438202247
90	106	104	78	SW	2	nan	nan	1.002807074079134	0.7547169811320755
100	114	112	82	SW	2	nan	nan	0.8579002709746798	0.7368421052631579
110	118	116	85	SW	2	nan	nan	0.7697307943938915	0.7372881355932204
120	121	119	87	SW	2	nan	nan	0.7260581166550947	0.7355371900826446
130	146	144	107	SW	2	nan	nan	1.0362799202447095	0.7465753424657534
140	150	148	109	SW	2	nan	nan	1.0397336954425882	0.74
150	175	173	125	SW	2	nan	nan	1.000938991463557	0.7257142857142858
160	214	212	141	SW	2	nan	nan	1.0092570762445765	0.6682242990654206
170	233	231	154	SW	3	nan	nan	1.2689705104857067	0.6695278969957081
180	238	236	154	SW	3	nan	nan	1.289008860965753	0.6638655462184874
190	232	230	159	SW	3	nan	nan	1.2171367556092847	0.7025862068965517
200	229	227	161	SW	3	nan	nan	1.1795238829389607	0.7117903930131004
210	234	232	148	SW	2	nan	nan	1.1353723235451252	0.6410256410256411
220	230	228	136	SW	2	nan	nan	1.0745210421967	0.6
230	233	231	139	SW	2	nan	nan	1.1707025794370143	0.6094420600858369
240	227	225	143	SW	3	nan	nan	1.112395912814559	0.6431718061674009
250	212	210	144	SW	2	nan	nan	1.0499805299621539	0.6933962264150944
260	236	234	156	SW	2	nan	nan	0.9958472057478054	0.6694915254237288
270	244	242	158	SW	2	nan	nan	0.9900953137781112	0.6557377049180327
280	252	250	162	SW	2	nan	nan	1.009535006839419	0.6507936507936508
290	255	253	166	SW	2	nan	nan	1.0377924887576224	0.6666666666666666
300	272	270	173	SW	3	nan	nan	1.1991265969372942	0.6470588235294118
310	267	265	156	SW	3	nan	nan	1.2059631462412936	0.5917602996254682
320	269	267	160	SW	3	nan	nan	1.2780532888789216	0.6022304832713755
330	250	248	158	SW	3	nan	nan	1.1486161335083473	0.644
340	255	251	174	SW	3	nan	nan	1.131560287067008	0.6996047430830039
350	261	259	181	SW	3	nan	nan	1.0958422795898208	0.7049808429118773
360	262	260	190	SW	2	nan	nan	1.0975043103797915	0.732824427480916
370	270	268	186	SW	2	nan	nan	1.087934993935883	0.7
380	282	280	193	SW	2	nan	nan	1.0784923385105407	0.6914893617021277
390	296	294	190	SW	3	nan	nan	1.1575228371981434	0.652027027027027
400	306	303	192	SW	3	nan	nan	1.1297017035405563	0.6339869281045751
410	306	304	193	SW	3	nan	nan	1.1531361236738573	0.6372549019607843
420	296	294	187	SW	3	nan	nan	1.1406955137741437	0.6385135135135135
430	271	269	175	SW	2	nan	nan	1.0973396512953681	0.6531365313653137
440	264	262	160	SW	3	nan	nan	1.0965279486965664	0.6136363636363636
450	245	243	152	SW	1	nan	nan	1.0365970402661335	0.6285714285714286
460	226	224	146	SW	1	nan	nan	1.0403156387581798	0.6548672566371682
470	217	215	140	SW	1	nan	nan	1.0228637527263218	0.6543778801843319
480	208	206	123	SW	2	nan	nan	1.0414729069410495	0.6009615384615384
490	189	187	111	SW	2	nan	nan	1.062755829606087	0.5978835978835979
500	189	187	116	SW	2	nan	nan	1.0320085942707249	0.6243386243386243
510	195	191	126	SW	2	nan	nan	0.861622586743288	0.6666666666666666
520	210	208	139	SW	3	nan	nan	1.101479002249667	0.6761904761904762
530	225	223	135	SW	3	nan	nan	1.2574952012341087	0.6133333333333333
540	233	231	134	SW	3	nan	nan	1.384166122766812	0.5879828326180258
550	256	253	146	SW	3	nan	nan	1.2833033984179656	0.5859375
560	235	233	152	SW	3	nan	nan	1.1614170393942596	0.6638297872340425
570	212	209	150	SW	2	nan	nan	1.0685301234871138	0.7169811320754716
580	218	216	158	SW	1	nan	nan	0.991000383661534	0.7339449541284404
590	233	231	168	SW	2	nan	nan	1.0122880094825464	0.7296137339055794
600	241	239	172	SW	2	nan	nan	0.9905746721092228	0.7219917012448133
610	242	240	173	SW	2	nan	nan	1.0309201862283135	0.7272727272727273
620	240	238	174	SW	2	nan	nan	1.0337751931548482	0.7333333333333333
630	235	233	170	SW	2	nan	nan	1.0323409589079433	0.7319148936170212
640	244	242	164	SW	2	nan	nan	1.0689152478504846	0.6844262295081968
650	248	246	148	SW	2	nan	nan	1.0926770263689414	0.6088709677419355
660	250	248	142	SW	2	nan	nan	1.0527100340138653	0.576
670	239	237	142	SW	2	nan	nan	0.987792247530998	0.602510460251046
680	224	221	127	SW	3	nan	nan	1.1275927426080905	0.5803571428571429
690	216	212	117	SW	3	nan	nan	1.1203239378350716	0.5509259259259259
700	202	200	110	SW	2	nan	nan	1.0756512248994663	0.5594059405940595
710	196	194	116	SW	2	nan	nan	1.0561836860574252	0.6071428571428571
720	166	163	110	SW	2	nan	nan	1.0767187754221021	0.6807228915662651
730	172	169	111	SW	2	nan	nan	1.2117769702490226	0.6569767441860465
740	172	170	102	SW	3	nan	nan	1.1927090422900881	0.6046511627906976
750	171	169	100	SW	3	nan	nan	1.1462230879754847	0.6023391812865497
760	164	162	100	SW	2	nan	nan	1.0730081532809488	0.6280487804878049
770	168	166	112	SW	2	nan	nan	0.9440213372764372	0.6845238095238095
780	166	163	112	SW	2	nan	nan	0.9596163125618213	0.6867469879518072
790	158	156	112	SW	2	nan	nan	0.9729042744253585	0.7278481012658228
800	162	160	112	SW	2	nan	nan	1.0115713846563767	0.7037037037037037
810	163	161	108	SW	2	nan	nan	1.0757607449851476	0.6748466257668712
820	174	172	104	SW	3	nan	nan	1.1806548523260751	0.6091954022988506
830	173	171	105	SW	3	nan	nan	1.1247529562817529	0.6242774566473989
840	163	160	110	SW	2	nan	nan	1.0473436232505828	0.6993865030674846
850	166	162	121	SW	2	nan	nan	0.9495927534186246	0.7409638554216867
860	192	190	146	SW	3	nan	nan	1.2890973911217911	0.7760416666666666
870	195	193	141	SW	2	nan	nan	1.1648086436211469	0.7333333333333333
880	196	194	140	SW	2	nan	nan	1.0822802283117015	0.7244897959183674
890	198	196	143	SW	2	nan	nan	1.0843641463081763	0.7373737373737373
900	195	193	138	SW	2	nan	nan	1.0461645154077404	0.7230769230769231
910	187	185	135	SW	1	nan	nan	1.0494505473020475	0.732620320855615
920	196	194	139	SW	2	nan	nan	1.0650832442813918	0.7244897959183674
930	186	184	139	SW	2	nan	nan	1.0037100735557873	0.7634408602150538
940	178	175	137	SW	2	nan	nan	0.9450819947053929	0.7865168539325843
950	178	176	135	SW	2	nan	nan	0.9579201104571801	0.7752808988764045
960	184	182	136	SW	2	nan	nan	0.9561905538702415	0.7554347826086957
970	197	195	137	SW	2	nan	nan	0.926663181652575	0.7055837563451777
980	206	204	139	SW	2	nan	nan	0.9628205649294377	0.6844660194174758
990	211	209	130	SW	2	nan	nan	1.0732012082353068	0.6255924170616114
1000	204	202	126	SW	3	nan	nan	1.1247879475818028	0.6274509803921569
1010	177	173	124	SW	3	nan	nan	1.1113989287941437	0.7231638418079096
1020	164	161	114	SW	2	nan	nan	1.1535583741247606	0.7073170731707317
1030	160	158	114	SW	2	nan	nan	1.0105484220304124	0.725
1040	164	162	117	SW	2	nan	nan	0.9816897171598155	0.725609756097561
1050	167	165	121	SW	2	nan	nan	1.0867759363976623	0.7425149700598802
1060	171	169	124	SW	2	nan	nan	1.0006664951345197	0.7426900584795322
1070	170	168	117	SW	2	nan	nan	0.9704968118478414	0.711764705882353
1080	160	157	116	SW	2	nan	nan	0.9318954801215262	0.74375
1090	165	163	120	SW	2	nan	nan	0.9677244815227342	0.7393939393939394
1100	177	175	132	SW	2	nan	nan	0.9663825050435432	0.7570621468926554
1110	184	182	135	SW	2	nan	nan	0.9626221190338049	0.7445652173913043
1120	192	190	127	SW	2	nan	nan	0.98847632886002	0.6770833333333334
1130	190	188	115	SW	3	nan	nan	1.1050663121947806	0.6263157894736842
1140	190	188	111	SW	3	nan	nan	1.1452689225482602	0.6
1150	158	155	105	SW	2	nan	nan	1.031293695263947	0.6772151898734177
1160	183	180	113	SW	2	nan	nan	1.0728300761756755	0.6338797814207651
1170	191	189	131	SW	2	nan	nan	0.9961248779336992	0.7015706806282722
1180	188	186	133	SW	2	nan	nan	0.958335026858861	0.7180851063829787
1190	202	200	142	SW	2	nan	nan	1.0313705663883082	0.7128712871287128
1200	214	212	152	SW	3	nan	nan	1.1402875565778698	0.719626168224299
1210	213	211	152	SW	3	nan	nan	1.169260771529949	0.7230046948356808
1220	209	207	151	SW	3	nan	nan	1.1219893419272868	0.7320574162679426
1230	197	195	142	SW	3	nan	nan	1.1038694923617853	0.7309644670050761
1240	197	195	137	SW	2	nan	nan	1.0866040262488947	0.7055837563451777
1250	192	190	127	SW	2	nan	nan	1.0831415771917614	0.6770833333333334
1260	177	175	122	SW	1	nan	nan	0.9086721153983562	0.7062146892655368
1270	172	170	122	SW	1	nan	nan	0.869542628769699	0.7267441860465116
1280	167	164	123	SW	1	nan	nan	0.9971952706696358	0.7485029940119761
1290	164	162	123	SW	2	nan	nan	1.0675249818190298	0.7621951219512195
1300	170	168	117	SW	2	nan	nan	1.0760801468203758	0.7058823529411765
1310	165	162	101	SW	2	nan	nan	1.0509973712880147	0.6303030303030303
1320	162	159	100	SW	2	nan	nan	0.9848148713234329	0.6358024691358025
1330	162	159	92	SW	2	nan	nan	0.9166169025841733	0.5864197530864198
1340	147	145	88	SW	3	nan	nan	1.1079632163014972	0.6190476190476191
1350	147	145	78	SW	2	nan	nan	1.1088972842618576	0.5510204081632653
