epoch	V	E	b1H	b1S	label	d_cal	npts
25	19	35	17	10	SW	nan	1
50	34	65	32	18	SW	nan	1
75	50	97	48	27	SW	nan	1
100	80	157	78	44	SW	nan	2
125	100	197	98	57	SW	nan	2
150	127	251	125	71	SW	nan	2
175	137	271	135	73	SW	nan	2
200	125	247	123	66	SW	nan	2
225	120	237	118	71	SW	nan	1
250	135	267	133	65	SW	nan	2
275	126	249	124	59	SW	nan	2
300	110	216	107	55	SW	nan	1
325	113	223	111	55	SW	nan	2
350	110	217	108	57	SW	nan	2
375	110	217	108	55	SW	nan	1
400	103	203	101	49	SW	nan	1
425	98	192	95	52	SW	nan	1
450	97	190	94	53	SW	nan	2
475	104	205	102	52	SW	nan	2
500	90	177	88	53	SW	nan	1
525	99	195	97	58	SW	nan	2
550	120	237	118	62	SW	nan	2
575	113	223	111	59	SW	nan	1
600	114	225	112	54	SW	nan	1
625	108	213	106	54	SW	nan	2
650	116	229	114	53	SW	nan	2
675	136	269	134	67	SW	nan	2
700	118	232	115	60	SW	nan	2
725	127	251	125	70	SW	nan	2
750	147	290	144	72	SW	nan	2
775	137	270	134	70	SW	nan	2
800	166	329	164	71	SW	nan	3
825	138	273	136	67	SW	nan	1
850	133	263	131	60	SW	nan	1
875	126	249	124	62	SW	nan	1
900	147	290	144	65	SW	nan	2
