epoch	V	E	b1H	b1S	label	d_cal	npts
25	33	63	31	25	SW	nan	1
50	89	175	87	68	SW	nan	1
75	152	301	150	122	SW	nan	1
100	266	529	264	206	SW	nan	2
125	319	635	317	250	SW	nan	1
150	397	791	395	322	SW	nan	1
175	479	955	477	385	SW	nan	2
200	544	1085	542	414	SW	nan	3
225	621	1239	619	439	SW	nan	3
250	665	1326	662	423	SW	nan	3
275	696	1387	692	396	SW	nan	3
300	726	1444	719	361	SW	nan	3
325	718	1408	691	315	SW	nan	2
350	702	1351	650	282	SW	nan	3
375	703	1343	641	250	SW	nan	3
400	693	1307	615	254	SW	nan	3
425	670	1247	578	251	SW	nan	3
450	634	1142	509	230	SW	nan	3
475	628	1121	494	219	SW	nan	3
500	734	1327	594	293	METR	3.5893501925879967	4
525	751	1351	601	302	METR	2.2899026084350393	4
550	720	1285	566	282	METR	1.9815424311676992	4
575	716	1263	548	287	SW	nan	3
600	706	1244	539	311	SW	nan	3
625	647	1148	502	253	SW	nan	3
650	684	1232	549	223	SW	nan	3
675	707	1267	561	208	SW	nan	3
700	622	1077	456	201	SW	nan	3
725	548	935	388	174	SW	nan	3
750	496	847	352	158	METR	1.9656928968083973	4
775	493	838	346	148	METR	2.0640715010122235	4
800	469	802	334	122	METR	1.299260115710588	4
825	458	791	334	152	METR	0.28365978166614436	7
850	373	651	279	164	SW	nan	1
875	409	724	316	183	SW	nan	1
900	405	713	309	183	SW	nan	1
