dim	side	N	slope	slope_sd	npts
1	356	356	0.9703688602760948	0.004139669417008388	36
1	657	657	0.9777454958823075	0.0029483553549002547	36
1	890	890	0.9788532772472894	0.00200275985971286	36
2	19	361	1.8214563554147065	0.015227843841462307	14
2	26	676	1.869782910791816	0.006727617693351393	21
2	30	900	1.887668361010538	0.006702200040170508	24
3	7	343	2.4591070072705716	0.020024967438035387	7
3	9	729	2.5858273660619813	0.011668321902943025	10
3	10	1000	2.6177708262504216	0.01452553137188964	11
4	4	256	2.7563032449170555	0.06170138876497826	6
4	5	625	2.9794196526052312	0.02659561009471335	6
