epoch	V	E	b1H	b1S	label	d_cal	npts
25	35	67	33	27	SW	nan	1
50	74	145	72	52	SW	nan	1
75	83	163	81	66	SW	nan	1
100	98	193	96	84	SW	nan	2
125	146	289	144	111	SW	nan	2
150	160	317	158	125	SW	nan	2
175	168	333	166	132	SW	nan	1
200	181	358	178	139	SW	nan	1
225	210	417	208	165	SW	nan	3
250	245	487	243	185	SW	nan	2
275	284	565	282	202	SW	nan	2
300	296	588	293	211	SW	nan	2
325	339	672	334	243	SW	nan	3
350	375	747	373	262	SW	nan	2
375	366	728	363	250	SW	nan	2
400	362	719	358	235	SW	nan	2
425	376	747	372	236	SW	nan	3
450	381	756	376	234	SW	nan	3
475	360	710	351	192	SW	nan	2
500	376	732	357	189	SW	nan	3
525	385	739	355	210	METR	2.9103744205821966	4
550	352	671	320	213	SW	nan	3
575	337	643	307	210	SW	nan	3
600	353	669	317	228	SW	nan	3
625	392	747	356	262	METR	3.37658596587816	4
650	411	786	376	261	METR	3.7853583268255453	4
675	409	781	373	266	SW	nan	3
700	408	774	367	264	METR	3.668925249886295	4
725	444	844	401	275	METR	3.4845228173595375	4
750	467	890	424	286	SW	nan	3
775	467	889	423	286	METR	3.921719916620282	4
800	467	884	418	284	METR	3.852357781351668	4
825	480	910	431	305	METR	3.429117842089857	4
850	518	983	466	329	METR	3.510924770483542	4
875	542	1021	480	329	METR	3.7659864115013835	4
900	528	994	467	312	SW	nan	3
