epoch	V	E	b1H	b1S	label	d_cal	npts
25	24	45	22	14	SW	nan	1
50	40	77	38	31	SW	nan	1
75	81	159	79	62	SW	nan	3
100	114	225	112	82	SW	nan	2
125	136	269	134	101	SW	nan	1
150	175	347	173	125	SW	nan	2
175	237	471	235	157	SW	nan	3
200	229	455	227	161	SW	nan	3
225	235	467	233	136	SW	nan	2
250	212	421	210	144	SW	nan	2
275	251	499	249	161	SW	nan	2
300	272	541	270	173	SW	nan	3
325	255	507	253	156	SW	nan	3
350	261	519	259	181	SW	nan	3
375	275	547	273	182	SW	nan	3
400	306	608	303	192	SW	nan	3
425	280	557	278	181	SW	nan	3
450	245	487	243	152	SW	nan	1
475	214	425	212	130	SW	nan	2
500	189	375	187	116	SW	nan	2
525	224	445	222	139	SW	nan	3
550	256	508	253	146	SW	nan	3
575	209	414	206	150	SW	nan	1
600	241	479	239	172	SW	nan	2
625	237	471	235	173	SW	nan	2
650	248	493	246	148	SW	nan	2
675	236	469	234	134	SW	nan	2
700	202	401	200	110	SW	nan	2
725	168	332	165	112	SW	nan	2
750	171	339	169	100	SW	nan	3
775	169	334	166	112	SW	nan	2
800	162	321	160	112	SW	nan	2
825	178	353	176	101	SW	nan	3
850	166	327	162	121	SW	nan	2
875	196	389	194	141	SW	nan	2
900	195	387	193	138	SW	nan	2
