D,final_L,mean_L_tail,std_L_tail,mean_v_tail,std_v_tail,mean_Omega_tail,std_Omega_tail,oscillation_amplitude_v,oscillation_amplitude_Omega,instability_indicator
0.0,1.0,0.9999999999999758,6.014177798381924e-14,0.400000015958394,3.995227060129018e-07,1.000000023199722,2.843037537949838e-07,2.288906021497006e-06,1.3331788180082071e-06,6.838264598078856e-07
0.002,1.0,0.999999999999975,6.208688269158874e-14,0.3998400496870426,3.252620814911997e-07,0.9996001016624761,2.29372698172979e-07,2.136806341312969e-06,1.2561051808690493e-06,5.546347796641787e-07
0.004,1.0,0.9999999999999742,6.411364302266865e-14,0.39968014590050244,3.6607057075566784e-07,0.9992003396675054,2.548890833458534e-07,1.9883004573340024e-06,1.1621327075106436e-06,6.209596541015212e-07
0.006,1.0,0.9999999999999735,6.6210255800376e-14,0.399520305485652,3.151145004741709e-07,0.9988007360675719,2.1423252154098355e-07,1.8516589776473857e-06,1.0864297307344728e-06,5.293470220151544e-07
0.008,1.0,0.9999999999999726,6.838003519250605e-14,0.3993605286660372,2.893840042787106e-07,0.9984012956742033,1.9778637642608125e-07,1.7482611919250601e-06,1.030175739824557e-06,4.871703807047919e-07
0.01,1.0,0.9999999999999716,7.062952333909261e-14,0.3992008210415874,3.112044102025215e-07,0.998002014804177,2.1115380378417232e-07,1.6584138192166087e-06,9.921306961535592e-07,5.223582139866939e-07
0.012,1.0,0.9999999999999706,7.296653883537362e-14,0.3990411730999767,3.0257226984063993e-07,0.9976028924412687,2.1046429289663692e-07,1.5620713491037996e-06,9.244966137078592e-07,5.130365627372768e-07
0.014,1.0,0.9999999999999697,7.538083861022674e-14,0.39888158425570736,3.146416843406951e-07,0.9972039297875688,2.174985080947535e-07,1.4413909524835233e-06,9.655381245643468e-07,5.321401924354486e-07
0.016,1.0,0.9999999999999687,7.788576406698033e-14,0.39872206692514306,2.3852650963519286e-07,0.9968051299195356,1.645010282237717e-07,1.3763311209613605e-06,8.409887194416044e-07,4.0302753785896456e-07
0.018000000000000002,1.0,0.9999999999999676,8.048570263375218e-14,0.3985626107134537,2.3915968053403435e-07,0.9964064886489965,1.653591971291969e-07,1.243760626434831e-06,8.045355527341869e-07,4.045188776632312e-07
0.02,1.0,0.9999999999999665,8.317622862057657e-14,0.3984032196957258,3.357008040819978e-07,0.9960080053239165,2.4267733962404155e-07,1.4257938681927484e-06,1.0785134025859122e-06,5.783781437060393e-07
0.025,1.0,0.9999999999999637,9.035231167690948e-14,0.3980050157836715,3.4079192577712003e-07,0.995012503726019,2.4306244568107064e-07,1.364396677860924e-06,1.0120249951395266e-06,5.838543714581906e-07
0.037500000000000006,1.0,0.9999999999999551,1.1141417186613792e-13,0.3970112621764467,2.4849755886903105e-07,0.9925281222550594,1.7820349850717594e-07,8.665011259623157e-07,6.574599542563675e-07,4.26701057376207e-07
0.05,1.0,0.9999999999999444,1.3792088279186803e-13,0.39602000801421516,1.4196400938386892e-07,0.9900499955112778,1.072257777630984e-07,5.475546825395305e-07,4.271647527920308e-07,2.491897871469673e-07
0.0625,1.0,0.9999999999999307,1.7137639101471966e-13,0.3950312541208595,1.3462731266434604e-07,0.9875781174709856,1.0683409194485582e-07,5.253687039852295e-07,3.483380967006511e-07,2.414614046092019e-07
