D,B,final_L,std_v_tail,std_Omega_tail,regime_label
0.0,0.0,1.0,4.333000289747476,10.832495123406154,limit_cycle_like
0.02,0.0,1.0,2.062602737168562,5.427893968302787,limit_cycle_like
0.04,0.0,1.0,1.0122435173519584,2.8117760516734527,limit_cycle_like
0.06,0.0,1.0,0.5129223339098622,1.5085788551657202,limit_cycle_like
0.08,0.0,1.0,0.2687538396938366,0.8398326791623477,limit_cycle_like
0.1,0.0,1.0,0.14581857562396336,0.48602867295803115,limit_cycle_like
0.12,0.0,1.0,0.08203870451886933,0.2929468278743837,limit_cycle_like
0.14,0.0,1.0,0.04792200486019051,0.18424358709937327,limit_cycle_like
0.16,0.0,1.0,0.029099775405265198,0.12114138427808824,limit_cycle_like
0.18,0.0,1.0,0.018389691748859096,0.08342573430591509,limit_cycle_like
0.2,0.0,1.0,0.012107176462203582,0.060282947261260426,limit_cycle_like
0.22,0.0,1.0,0.008312084092161201,0.04578097406744092,near_complete_closure
0.24,0.0,1.0,0.005955960037304269,0.03658888170426111,near_complete_closure
0.26,0.0,1.0,0.004457683438023428,0.03080021524441635,near_complete_closure
0.28,0.0,1.0,0.0034872984396015893,0.027312771803276684,near_complete_closure
0.3,0.0,1.0,0.002853423044642881,0.025496127023981664,near_complete_closure
0.32,0.0,1.0,0.002443369174468406,0.02501206247127592,near_complete_closure
0.34,0.0,1.0,0.002190695422924416,0.02571895874498144,near_complete_closure
0.36,0.0,1.0,0.0020575327349404058,0.02762511112557586,near_complete_closure
0.38,0.0,1.0,0.0020252058850609403,0.030873207642725952,near_complete_closure
0.4,0.0,1.0,0.0020898744767971727,0.03574757249810782,near_complete_closure
0.42,0.0,1.0,0.0022618244132243718,0.042701569998738455,near_complete_closure
0.44,0.0,1.0,0.002568239543855923,0.052406282130133576,limit_cycle_like
0.46,0.0,1.0,0.00306050838645369,0.06582360490718309,limit_cycle_like
0.48,0.0,1.0,0.003828886424183639,0.08430860541482495,limit_cycle_like
0.5,0.0,1.0,0.00503045944107599,0.10974440204188249,limit_cycle_like
0.52,0.0,1.0,0.006942666383829527,0.14470546653629515,limit_cycle_like
0.54,0.0,1.0,0.010067190929410226,0.19262228036761356,limit_cycle_like
0.56,0.0,0.9999999999999996,0.015331997774362643,0.2578574813801796,limit_cycle_like
0.58,0.0,0.9999999999999905,0.024463773044933277,0.3454423523948797,limit_cycle_like
0.6,0.0,0.9999999999998568,0.0405359489958646,0.4598461231191391,limit_cycle_like
0.62,0.0,0.9999999999981577,0.06817240726513459,0.6015866687413746,limit_cycle_like
0.64,0.0,0.9999999999795346,0.1115647476516246,0.7612917275569921,limit_cycle_like
0.66,0.0,0.999999999801114,0.16925537416635758,0.917111041907625,limit_cycle_like
0.68,0.0,0.9999999982904522,0.23220250460250197,1.0451003145575155,limit_cycle_like
0.7000000000000001,0.0,0.9999999868750982,0.2902795386794901,1.1325104431509334,limit_cycle_like
0.72,0.0,0.9999999092094511,0.3376921194010863,1.1777508437700581,limit_cycle_like
0.74,0.0,0.9999994297026763,0.37254260779568354,1.1839611627169664,limit_cycle_like
0.76,0.0,0.9999967244453428,0.39480517340718696,1.1550439396417298,limit_cycle_like
0.78,0.0,0.9999826936798825,0.40503669804628445,1.0944324602078765,limit_cycle_like
0.8,0.0,0.9999154757745463,0.403796063309058,1.0051148345249383,limit_cycle_like
0.0,0.075,1.0,0.0018558147015034017,0.00244424230141288,near_complete_closure
0.02,0.075,1.0,0.0016024016578134687,0.0016912119412722346,near_complete_closure
0.04,0.075,1.0,0.001256492312661571,0.001330058799365574,near_complete_closure
0.06,0.075,1.0,0.0008931665220128656,0.0012970180528986978,near_complete_closure
0.08,0.075,1.0,0.0006587203958617342,0.0012741426236311428,near_complete_closure
0.1,0.075,1.0,0.0006381711131032932,0.0011018198613010409,near_complete_closure
0.12,0.075,1.0,0.0006826565330164373,0.000821094156484681,near_complete_closure
0.14,0.075,1.0,0.0006454688207196108,0.0006258898187596829,near_complete_closure
0.16,0.075,1.0,0.0005116201446767829,0.0006864946591001621,near_complete_closure
0.18,0.075,1.0,0.00038106505617828445,0.0008047642595852465,near_complete_closure
0.2,0.075,1.0,0.00041324170504773456,0.0007797787783726751,near_complete_closure
0.22,0.075,1.0,0.0005263242131601913,0.0006091890106292532,near_complete_closure
0.24,0.075,1.0,0.000553358127212797,0.0005280040319479108,near_complete_closure
0.26,0.075,1.0,0.00045718700448633433,0.0007390610917894501,near_complete_closure
0.28,0.075,1.0,0.0003826499669403117,0.0009418760987984254,near_complete_closure
0.3,0.075,1.0,0.0005539086819309966,0.0009080686346957864,near_complete_closure
0.32,0.075,1.0,0.0007713019021145689,0.0007185611178717733,near_complete_closure
0.34,0.075,1.0,0.0008077599845558556,0.0009589770944639711,near_complete_closure
0.36,0.075,0.9999999999999998,0.0006571265383132733,0.0015631381221361562,near_complete_closure
0.38,0.075,0.9999999999999991,0.0008237426809829119,0.0018885466839081622,near_complete_closure
0.4,0.075,0.9999999999999962,0.0014733477069659472,0.0016542204918679122,near_complete_closure
0.42,0.075,0.9999999999999822,0.001986330147559141,0.0018462984456107914,near_complete_closure
0.44,0.075,0.999999999999921,0.0019230331116632596,0.003690129861995668,near_complete_closure
0.46,0.075,0.9999999999996565,0.0018607993103996177,0.005622829045804733,near_complete_closure
0.48,0.075,0.9999999999985467,0.0038579141283546646,0.005988272259501923,near_complete_closure
0.5,0.075,0.9999999999940159,0.006836951634164222,0.005575394513861841,near_complete_closure
0.52,0.075,0.9999999999760223,0.008577554401185941,0.012099885003232978,near_complete_closure
0.54,0.075,0.9999999999065132,0.007866374789220816,0.023790319380519287,near_complete_closure
0.56,0.075,0.9999999996452911,0.01369773873118475,0.03238643814923427,near_complete_closure
0.58,0.075,0.9999999986900743,0.03285528070371762,0.03096721833271139,near_complete_closure
0.6,0.075,0.9999999952903791,0.05686264672487421,0.05343489502499465,limit_cycle_like
0.62,0.075,0.9999999835095537,0.07403116881257621,0.14224425884554384,limit_cycle_like
0.64,0.075,0.9999999437474955,0.07584774038114858,0.2779849809365831,limit_cycle_like
0.66,0.075,0.9999998129948732,0.07347215729620082,0.4316380606865942,limit_cycle_like
0.68,0.075,0.9999993940293149,0.0940177408165584,0.573308579574555,limit_cycle_like
0.7000000000000001,0.075,0.9999980860290865,0.13448241098770786,0.6867409625777791,limit_cycle_like
0.72,0.075,0.9999941084193105,0.1781630965635172,0.768423445174111,limit_cycle_like
0.74,0.075,0.9999823270731151,0.21749359792773706,0.8199253251202526,limit_cycle_like
0.76,0.075,0.9999483045947435,0.25010821563422503,0.8433985147093597,limit_cycle_like
0.78,0.075,0.999852172431366,0.2754062613338963,0.8400357235792913,limit_cycle_like
0.8,0.075,0.9995843463867121,0.2931567991027725,0.8097978942879797,limit_cycle_like
0.0,0.15,1.0,0.0013773307887157374,0.0017704466502801326,near_complete_closure
0.02,0.15,1.0,0.0010568713970308394,0.0015266149035221405,near_complete_closure
0.04,0.15,1.0,0.0009745564852257441,0.0011775588095119583,near_complete_closure
0.06,0.15,1.0,0.0009039170934063357,0.0008374626267273719,near_complete_closure
0.08,0.15,1.0,0.0007373892957128102,0.000695767112742043,near_complete_closure
0.1,0.15,1.0,0.0005335081002055072,0.0007217664416109265,near_complete_closure
0.12,0.15,1.0,0.00044774392438224475,0.0006947797091067074,near_complete_closure
0.14,0.15,1.0,0.0004931730643852775,0.0005514087100426092,near_complete_closure
0.16,0.15,1.0,0.0004968364531518034,0.0004231016240703991,near_complete_closure
0.18,0.15,1.0,0.00040110961779735025,0.00047444684768962157,near_complete_closure
0.2,0.15,1.0,0.0003199281584389394,0.0005463852164068493,near_complete_closure
0.22,0.15,0.9999999999999998,0.0003920716687718854,0.0004850953887654399,near_complete_closure
0.24,0.15,0.9999999999999993,0.0004620408893837286,0.0003819120742213477,near_complete_closure
0.26,0.15,0.9999999999999978,0.0004062428438469431,0.00048664417563885367,near_complete_closure
0.28,0.15,0.9999999999999933,0.00034131467634272245,0.0006269960954586296,near_complete_closure
0.3,0.15,0.9999999999999793,0.0004901376669854668,0.000577645752219022,near_complete_closure
0.32,0.15,0.9999999999999365,0.0006266348602902671,0.0005038145076455167,near_complete_closure
0.34,0.15,0.9999999999998068,0.0005606138047562134,0.0007942204713899077,near_complete_closure
0.36,0.15,0.9999999999994167,0.0005568090207953934,0.0010475159116150083,near_complete_closure
0.38,0.15,0.9999999999982547,0.000954709319641892,0.0009355279814575566,near_complete_closure
0.4,0.15,0.9999999999948268,0.0012203140219266822,0.001077478431059297,near_complete_closure
0.42,0.15,0.9999999999848188,0.0010704777961126728,0.0019661762536482565,near_complete_closure
0.44,0.15,0.999999999955923,0.0014937673433287847,0.0024354760053388116,near_complete_closure
0.46,0.15,0.9999999998734583,0.0027623252176359504,0.00215388451526303,near_complete_closure
0.48,0.15,0.9999999996409441,0.0033324028572725706,0.003850707042311331,near_complete_closure
0.5,0.15,0.9999999989934854,0.003071203121255935,0.006933777780174666,near_complete_closure
0.52,0.15,0.9999999972134634,0.006202796999240522,0.007768411421756021,near_complete_closure
0.54,0.15,0.9999999923830406,0.01114714044552161,0.008435798524400321,near_complete_closure
0.56,0.15,0.9999999794469892,0.012346276819181806,0.020048883724837,near_complete_closure
0.58,0.15,0.9999999452659413,0.015538839807327091,0.0328399409322785,near_complete_closure
0.6,0.15,0.9999998561733121,0.04075758416161477,0.03322278668674986,near_complete_closure
0.62,0.15,0.9999996271458984,0.07276064177318288,0.06086777099199597,limit_cycle_like
0.64,0.15,0.999999046532035,0.09091617152520301,0.1586059024337514,limit_cycle_like
0.66,0.15,0.9999975947620787,0.09013499913538188,0.2885011453865736,limit_cycle_like
0.68,0.15,0.9999940132010852,0.08870449713845473,0.41607655280530353,limit_cycle_like
0.7000000000000001,0.15,0.9999852920159958,0.10481643366774411,0.5225112122918226,limit_cycle_like
0.72,0.15,0.9999643327972848,0.1338717607815229,0.6029801404920984,limit_cycle_like
0.74,0.15,0.9999146751566629,0.16547476286772345,0.658520225781153,limit_cycle_like
0.76,0.15,0.9997989535378384,0.19448659049628617,0.691232051319639,limit_cycle_like
0.78,0.15,0.9995342630459109,0.21909696058793335,0.7025032951842947,limit_cycle_like
0.8,0.15,0.9989389148249184,0.23876473138325058,0.6923402001135958,limit_cycle_like
0.0,0.22499999999999998,1.0,0.0012291450557282728,0.0014990380534166832,near_complete_closure
0.02,0.22499999999999998,1.0,0.0010085692811481635,0.001225987650788731,near_complete_closure
0.04,0.22499999999999998,1.0,0.0009369367222121757,0.0008940994724977998,near_complete_closure
0.06,0.22499999999999998,1.0,0.0008090687549730094,0.0006646073259344425,near_complete_closure
0.08,0.22499999999999998,0.9999999999999998,0.0006048302657876393,0.0006320615857530207,near_complete_closure
0.1,0.22499999999999998,0.9999999999999996,0.0004591003028775119,0.0006241818069023612,near_complete_closure
0.12,0.22499999999999998,0.9999999999999991,0.0004666164788841785,0.0005156233096706348,near_complete_closure
0.14,0.22499999999999998,0.9999999999999978,0.0004774532683211986,0.0003839696445141794,near_complete_closure
0.16,0.22499999999999998,0.9999999999999949,0.0003929284028062894,0.00039318732741217135,near_complete_closure
0.18,0.22499999999999998,0.9999999999999876,0.0003066082842418543,0.0004433278910525872,near_complete_closure
0.2,0.22499999999999998,0.99999999999997,0.00035618301901397484,0.000386930450880459,near_complete_closure
0.22,0.22499999999999998,0.9999999999999272,0.00039939078841153485,0.00030891254922534104,near_complete_closure
0.24,0.22499999999999998,0.9999999999998228,0.00033249636107626833,0.000389976444635144,near_complete_closure
0.26,0.22499999999999998,0.9999999999995677,0.00030569685384478686,0.0004536731488176954,near_complete_closure
0.28,0.22499999999999998,0.9999999999989444,0.0004290678750179725,0.0003771157706911794,near_complete_closure
0.3,0.22499999999999998,0.999999999997423,0.00046106427965443233,0.0004011123878928763,near_complete_closure
0.32,0.22499999999999998,0.9999999999937146,0.00037741473348709947,0.0005934836687401828,near_complete_closure
0.34,0.22499999999999998,0.9999999999847009,0.0005266750606031677,0.0006034825591804231,near_complete_closure
0.36,0.22499999999999998,0.9999999999628659,0.0007340507938667864,0.0005422648695350411,near_complete_closure
0.38,0.22499999999999998,0.9999999999101932,0.0006683720600341414,0.0009106662266390007,near_complete_closure
0.4,0.22499999999999998,0.9999999997837494,0.000785307849145301,0.0011584373071589756,near_complete_closure
0.42,0.22499999999999998,0.9999999994818765,0.001364190366929986,0.001012601471527782,near_complete_closure
0.44,0.22499999999999998,0.9999999987655133,0.0015066108253298507,0.0016841641808824012,near_complete_closure
0.46,0.22499999999999998,0.999999997076563,0.0015107403296350597,0.00265817139654616,near_complete_closure
0.48,0.22499999999999998,0.9999999931221164,0.0030649566604836315,0.00254073004438223,near_complete_closure
0.5,0.22499999999999998,0.9999999839311071,0.004251056476364618,0.0038273891537860785,near_complete_closure
0.52,0.22499999999999998,0.9999999627334714,0.00397730458869342,0.0074833754844149634,near_complete_closure
0.54,0.22499999999999998,0.9999999142357621,0.007775382803679967,0.00851246155384528,near_complete_closure
0.56,0.22499999999999998,0.9999998041926029,0.013430881248212172,0.010409609669928642,near_complete_closure
0.58,0.22499999999999998,0.9999995565959022,0.013526915481239249,0.02403342046706003,near_complete_closure
0.6,0.22499999999999998,0.9999990042533132,0.02707889173071698,0.03267615846139846,near_complete_closure
0.62,0.22499999999999998,0.9999977828248494,0.06258210401506614,0.03657280333889244,limit_cycle_like
0.64,0.22499999999999998,0.9999951061902337,0.0912119102025477,0.10399347073821806,limit_cycle_like
0.66,0.22499999999999998,0.9999892954817609,0.09794153305352825,0.21547520795140826,limit_cycle_like
0.68,0.22499999999999998,0.9999768000566229,0.09355580479343259,0.3313675531537696,limit_cycle_like
0.7000000000000001,0.22499999999999998,0.9999501716496741,0.09757904615016773,0.4308040741310361,limit_cycle_like
0.72,0.22499999999999998,0.9998938868350334,0.11534221617869013,0.5078159713644008,limit_cycle_like
0.74,0.22499999999999998,0.9997758325565238,0.1398342173770984,0.5628542513891027,limit_cycle_like
0.76,0.22499999999999998,0.9995304986190536,0.16480538076332477,0.5978362790393246,limit_cycle_like
0.78,0.22499999999999998,0.9990275305856772,0.1873422368763165,0.6143505473818708,limit_cycle_like
0.8,0.22499999999999998,0.9980149548960517,0.20639086374045468,0.6128987329481943,limit_cycle_like
0.0,0.3,0.9999999999999989,0.0012559376306874276,0.0012793111869358286,near_complete_closure
0.02,0.3,0.9999999999999978,0.0011052036512140928,0.0009021867689376464,near_complete_closure
0.04,0.3,0.9999999999999958,0.0008730107273155672,0.0007198763277796786,near_complete_closure
0.06,0.3,0.9999999999999916,0.0006244733709383492,0.000689425657209783,near_complete_closure
0.08,0.3,0.9999999999999833,0.0005210997200245696,0.0006128259824305757,near_complete_closure
0.1,0.3,0.9999999999999665,0.0005294661540118078,0.00045926997707925214,near_complete_closure
0.12,0.3,0.9999999999999318,0.00047497252945140827,0.00037228739890201706,near_complete_closure
0.14,0.3,0.9999999999998603,0.00035482859337795063,0.0004050692231085549,near_complete_closure
0.16,0.3,0.9999999999997116,0.0003251684029704472,0.0003901347384787278,near_complete_closure
0.18,0.3,0.9999999999994,0.00037479658356947377,0.00029874580882226004,near_complete_closure
0.2,0.3,0.9999999999987428,0.0003414880026900328,0.00029533216327290684,near_complete_closure
0.22,0.3,0.9999999999973515,0.0002685703528654857,0.00036016395398574656,near_complete_closure
0.24,0.3,0.9999999999943936,0.00032895824380575734,0.00032349039944782357,near_complete_closure
0.26,0.3,0.9999999999880884,0.00037821355947294764,0.00027873916764486583,near_complete_closure
0.28,0.3,0.9999999999746232,0.00031010358135657805,0.0003882768681527741,near_complete_closure
0.3,0.3,0.9999999999458389,0.0003545032509272894,0.0004179387156136219,near_complete_closure
0.32,0.3,0.9999999998842979,0.000492952204991983,0.00034923071590832005,near_complete_closure
0.34,0.3,0.999999999752806,0.00045191815278360656,0.000518065226537838,near_complete_closure
0.36,0.3,0.9999999994722257,0.0004890084640687797,0.0006481705929255593,near_complete_closure
0.38,0.3,0.9999999988747021,0.0007891354174793543,0.000557245062377278,near_complete_closure
0.4,0.3,0.9999999976055001,0.0008095044810940841,0.0008764805376562782,near_complete_closure
0.42,0.3,0.9999999949180582,0.0008588763714464461,0.0012348071097829873,near_complete_closure
0.44,0.3,0.9999999892484069,0.0015532555982712695,0.0011089949684157433,near_complete_closure
0.46,0.3,0.999999977336368,0.0017351911413101657,0.0018729573017698935,near_complete_closure
0.48,0.3,0.9999999524213785,0.0019328322167461052,0.0028798275776113144,near_complete_closure
0.5,0.3,0.9999999005612413,0.004011061563890643,0.0026959066621218357,near_complete_closure
0.52,0.3,0.9999997931707146,0.004985089077514199,0.005169725738764986,near_complete_closure
0.54,0.3,0.9999995720054751,0.005313661199157362,0.00874921556337582,near_complete_closure
0.56,0.3,0.9999991191579546,0.011359644821788202,0.008633881014808525,near_complete_closure
0.58,0.3,0.9999981975036389,0.014679796696482667,0.016380505020460772,near_complete_closure
0.6,0.3,0.9999963332149776,0.019066301604032245,0.029068675473561626,near_complete_closure
0.62,0.3,0.9999925854795325,0.05237065586539534,0.0295665549315367,limit_cycle_like
0.64,0.3,0.999985098893828,0.08729191699455216,0.07344822060523674,limit_cycle_like
0.66,0.3,0.9999702428241293,0.1006564091498695,0.1702903316628957,limit_cycle_like
0.68,0.3,0.9999409740641648,0.09759283859877498,0.2767290986302652,limit_cycle_like
0.7000000000000001,0.3,0.9998837351040146,0.09627805484241612,0.3702243346699465,limit_cycle_like
0.72,0.3,0.9997725434856946,0.1063602066291487,0.44388401687244516,limit_cycle_like
0.74,0.3,0.9995576545718193,0.12496251106669856,0.49763631622256693,limit_cycle_like
0.76,0.3,0.9991442304999628,0.1462704228033766,0.5331252650850434,limit_cycle_like
0.78,0.3,0.9983549427297785,0.16670994270430153,0.5519436931382827,limit_cycle_like
0.8,0.3,0.9968710457963719,0.18470408133083221,0.554941949575392,limit_cycle_like
0.0,0.375,0.9999999999999594,0.0012821983220295148,0.001003769337877545,near_complete_closure
0.02,0.375,0.9999999999999292,0.0009037680211710853,0.0009002519060347742,near_complete_closure
0.04,0.375,0.9999999999998752,0.0007089986148488747,0.000776525810452906,near_complete_closure
0.06,0.375,0.9999999999997773,0.0006727057356963215,0.0005788559950268102,near_complete_closure
0.08,0.375,0.9999999999995979,0.0005937290908115645,0.00043902231509502804,near_complete_closure
0.1,0.375,0.9999999999992657,0.000441548840538635,0.0004369362769276777,near_complete_closure
0.12,0.375,0.9999999999986451,0.00036549736667412384,0.0004175948245964384,near_complete_closure
0.14,0.375,0.999999999997476,0.00039505740622073444,0.0003205407604929401,near_complete_closure
0.16,0.375,0.9999999999952567,0.00036303157858939345,0.0002793395279378823,near_complete_closure
0.18,0.375,0.9999999999910145,0.0002759197747554155,0.00032386589491520683,near_complete_closure
0.2,0.375,0.9999999999828564,0.0002973553568468358,0.0002963757729378692,near_complete_closure
0.22,0.375,0.9999999999670874,0.00033776259675190974,0.00023714913765980142,near_complete_closure
0.24,0.375,0.9999999999364768,0.0002772706273987697,0.00029819830873859465,near_complete_closure
0.26,0.375,0.9999999998768518,0.0002822008392502652,0.0003212077707818441,near_complete_closure
0.28,0.375,0.999999999760405,0.0003748167781115251,0.00026034837532323466,near_complete_closure
0.3,0.375,0.9999999995325628,0.0003388220151892469,0.0003474307304801295,near_complete_closure
0.32,0.375,0.9999999990862616,0.00034564947642668685,0.0004189790343497107,near_complete_closure
0.34,0.375,0.9999999982116718,0.0005145703946709256,0.00035308357875796724,near_complete_closure
0.36,0.375,0.9999999964981907,0.0004936550746663008,0.0005209979110986362,near_complete_closure
0.38,0.375,0.9999999931439243,0.0005477478560235438,0.0006656906266430327,near_complete_closure
0.4,0.375,0.9999999865865639,0.0008970081434576369,0.0005884274530410039,near_complete_closure
0.42,0.375,0.9999999737908893,0.0008866404708064535,0.0010060002892383164,near_complete_closure
0.44,0.375,0.9999999488793501,0.001102563920046698,0.001300003505965125,near_complete_closure
0.46,0.375,0.9999999005119397,0.0018632919633848827,0.0012442369896880415,near_complete_closure
0.48,0.375,0.9999998068958846,0.0018033227750405593,0.002405856501731188,near_complete_closure
0.5,0.375,0.9999996263232773,0.003018390290960668,0.0029625567834789166,near_complete_closure
0.52,0.375,0.999999279312922,0.005366287263970804,0.0034295726688992503,near_complete_closure
0.54,0.375,0.9999986150877556,0.0053582628511658695,0.007580202440161869,near_complete_closure
0.56,0.375,0.999997349037767,0.00887014140337432,0.009235411338671678,near_complete_closure
0.58,0.375,0.9999949467838776,0.014609104425658043,0.011714891858609841,near_complete_closure
0.6,0.375,0.9999904103265155,0.015406795708748146,0.024636507531353297,near_complete_closure
0.62,0.375,0.9999818849508068,0.04358603904632639,0.027235863067945006,near_complete_closure
0.64,0.375,0.999965939625213,0.08210559765151948,0.054596668772402615,limit_cycle_like
0.66,0.375,0.9999362608731982,0.10087362120904039,0.13936951634694544,limit_cycle_like
0.68,0.375,0.9998813141764722,0.1001659166928496,0.23797283418142798,limit_cycle_like
0.7000000000000001,0.375,0.9997802022952353,0.09661034098174223,0.32641976802464046,limit_cycle_like
0.72,0.375,0.9995952839259691,0.10164520751362638,0.3970641968262705,limit_cycle_like
0.74,0.375,0.9992586815220349,0.11553686654670642,0.4494075909645505,limit_cycle_like
